Brand,Model,2014,2013,2012,2011
LAND ROVER,Freelander,"1,715,000","1,458,000","1,239,000","1,053,000"
LAND ROVER,Range Rover,"4,785,000","4,067,000","3,457,000","2,938,000"
LAND ROVER,Range Rover Evoque,"2,060,000","1,751,000","1,488,000","1,265,000"
LAND ROVER,Range Rover Sport,"3,260,000","2,771,000","2,355,000","2,002,000"
LEXUS,CT,"1,370,000","1,165,000","990,000","842,000"
LEXUS,ES,"2,100,000","1,785,000","1,517,000","1,289,000"
LEXUS,GS,"2,464,000","2,094,000","1,780,000","1,513,000"
LEXUS,IS,"1,764,000","1,499,000","1,274,000","1,083,000"
LEXUS,RX,"2,956,000","2,513,000","2,136,000","1,816,000"
MAZDA,2,"643,000","547,000","465,000","395,000"
MAZDA,3,"737,000","626,000","532,000","452,000"
MAZDA,5,"991,000","842,000","716,000","609,000"
MAZDA,6,"975,000","829,000","705,000","599,000"
MAZDA,B-Series,"957,000","813,000","691,000","587,000"
MINI,Cooper,"944,000","802,000","682,000","580,000"
MINI,One,"877,500","746,000","634,000","539,000"
MITSUBISHI,ASX,"1,049,000","892,000","758,000","644,000"
MITSUBISHI,L200,"1,069,000","909,000","773,000","657,000"
MITSUBISHI,Lancer,"709,000","603,000","513,000","436,000"
MITSUBISHI,Outlander,"1,169,000","994,000","845,000","718,000"
MITSUBISHI,Pajero,"1,789,000","1,521,000","1,293,000","1,099,000"
MITSUBISHI,Pajero Sport,"1,589,000","1,351,000","1,148,000","976,000"
NISSAN,Almera,"504,000","428,000","364,000","309,000"
NISSAN,Juke,"856,000","728,000","619,000","526,000"
NISSAN,Murano,"1,800,000","1,530,000","1,301,000","1,106,000"
NISSAN,Navara,"1,490,000","1,267,000","1,077,000","915,000"
NISSAN,Note,"580,000","493,000","419,000","356,000"
NISSAN,NP300,"1,033,000","878,000","746,000","634,000"
NISSAN,Pathfinder,"1,711,000","1,454,000","1,236,000","1,051,000"
NISSAN,Qashqai,"1,030,000","876,000","745,000","633,000"
NISSAN,Teana,"1,286,000","1,093,000","929,000","790,000"
NISSAN,Tiida,"660,000","561,000","477,000","405,000"
NISSAN,X-Trail,"1,233,000","1,048,000","891,000","757,000"
OPEL,Antara,"1,060,000","901,000","766,000","651,000"
OPEL,Astra,"764,900","650,000","553,000","470,000"
OPEL,Corsa,"615,000","523,000","445,000","378,000"
OPEL,Insignia,"1,065,000","905,000","769,000","654,000"
OPEL,Meriva,"713,000","606,000","515,000","438,000"
OPEL,Zafira,"784,900","667,000","567,000","482,000"
